kor,hanja
석비,石碑
계사,癸巳
명관,明觀
탑신,塔身
구형,龜形
석함,石函
기단,基壇
탑신,塔身
대좌,臺座
관,冠
대좌,臺座
삼도,三道
관,冠
대좌,臺座
법승,法勝
법연,法緣
두온애랑,豆溫哀郞
지권인,智拳印
여래형,如來形
무구정광대다라니경,無垢淨光大陀羅尼經
삼,蔘
모합,母盒
자합,子盒
모자합,母子盒
인,人
기단부,基壇部
사천왕상,四天王像
죽산군부인,竹山郡夫人
각보,覺普
화사석,火舍石
사천왕상,四天王像
기단,基壇
안상,眼象
동종,銅鍾
광배,光背
기단,基壇
안상,眼象
탑신,塔身
기단,基壇
탑신,塔身
지석,誌石
현휘,玄暉
선,禪
자등,慈燈
대보광선,大寶光禪
선,禪
기단,基壇
안상,眼象
탑신,塔身
심희,審希
행기,幸期
성휴,性休
화사석,火舍石
기단,基壇
보개,寶蓋
기축명아미타불비상,己丑銘阿彌陀佛碑像
비상,碑像
배,舟
명문,銘文
대석,臺石
나한,羅漢
야차상,夜叉像
천궁,天宮
인왕상,仁王像
미륵보살반가사유비상,彌勒菩薩半跏思惟碑像
탑비,塔碑
비상,碑像
관,冠
보탑,寶塔
기단부,基壇部
탑신,塔身
안상,眼象
대좌,臺座
광배,光背
기단,基壇
탑신,塔身
천부상,天部像
기단,基壇
탑신,塔身
수연,水煙
감악조사,感岳祖師
강희십팔년기미월일상량기,康熙十八年己未月日上樑記
중수,重修
팔,八
정,井
대좌,臺座
광배,光背
삼도,三道
광배,光背
대좌,臺座
안상,眼象
대좌,臺座
천개,天蓋
촉,觸
보계,寶髻
보관,寶冠
천의,天衣
기단,基壇
기단,基壇
탑신,塔身
삼법,三法
정상,頂相
삼신산,三神山
벽암,碧巖
진감선사,眞鑑禪師
탑신,塔身
기단,基壇
화사석,火舍石
기단,基壇
탑신,塔身
돈화,敦化
중수,重修
정오,正午
인정,人定
파루,罷漏
오고,午鼓
팔,八
홍예,紅霓
지공,指空
지공,指空
무학대사,無學大師
기단,基壇
탑신,塔身
지공,指空
화사석,火舍石
사경,寫經
부산진순절도,釜山鎭殉節圖
변박,卞璞
동래부순절도,東萊府殉節圖
변박,卞璞
천판,天板
팔,八
도선,道詵
장,丈
선암,仙岩
기단,基壇
탑신,塔身
팔,八
정,井
대광보전,大光寶殿
팔,八
정,井
부도,浮屠
기단부,基壇部
홍예,虹霓
대좌,臺座
광배,光背
팔,八
말,馬
기단,基壇
탑신,塔身
삼도,三道
대좌,臺座
삼도,三道
팔,八
정,井
삼존불,三尊佛
보관,寶冠
천의,天衣
대좌,臺座
팔,八
충효당,忠孝堂
보관,寶冠
천의,天衣
대좌,臺座
반가좌,半跏坐
홍치,弘治
제왕운기,帝王韻紀
삼국유사,三國遺事
을해,乙亥
석주,昔珠
보사,補寫
풍,豊
완형,盌形
청동은입사향로,百丈庵靑銅銀入絲香爐
광배,光背
대좌,臺座
광배,光背
대좌,臺座
대좌,臺座
안상,眼象
기단부,基壇部
사천왕상,四天王像
탑신,塔身
보살상,菩薩像
집자,集字
기단,基壇
탑신,塔身
신승형,申承逈
기단부,基壇部
탑신,塔身
관봉,冠峰
삼도,三道
대좌,臺座
대좌,臺座
광배,光背
인,人
봉업사,奉業寺
기단,基壇
탑신,塔身
삼도,三道
대좌,臺座
고신왕지,金懷鍊告身王旨
사령서,辭令書
조선지보,朝鮮之寶
연시각,延諡閣
탑신,塔身
기단,基壇
안상,眼象
관가정,觀稼亭
기단,基壇
탑신,塔身
명문,銘文
기단,基壇
탑신,塔身
소탑,小塔
동탁,銅鐸
안상,眼象
배례석,拜禮石
순응법사,順應法師
화사석,火舍石
기단부,基壇部
봉정사,鳳停寺
능인대사,能仁大師
인,人
동향,東向
인,人
수구,水口
왕,王
구형,球形
심엽형,心葉形
곡옥,曲玉
구형,球形
곡옥,曲玉
청옥,靑玉
곡옥,曲玉
청옥,靑玉
곡옥,曲玉
고분,古墳
고분,古墳
팔,八
대동운부군옥,大東韻部群玉
자치통감강목,資治通鑑綱目
모전탑,模塼塔
기단,基壇
탑신,塔身
동자상,童子像
대좌,臺座
사방불적,四方佛的
광배,光背
삼도,三道
배,舟
장순선사,長純禪師
만,卍
기단,基壇
탑신,塔身
안상,眼象
신흥사,新興寺
기단,基壇
탑신,塔身
부중상,八部衆像
기단,基壇
탑신,塔身
대홍원전,大弘願殿
죽림사,竹林寺
표충사,表忠祠
표충사,表忠寺
기단,基壇
탑신부,塔身部
가리사,加利寺
기단,基壇
탑신부,塔身部
기단,基壇
탑신,塔身
불보사찰,佛寶寺刹
가사,袈裟
수암사,水巖寺
탑신,塔身
기단,基壇
벽송,碧松
기단,基壇
탑신,塔身
서해,徐嶰
팔,八
인,人
갑사동종,甲寺銅鐘
연뢰,蓮蕾
황매산,黃梅山
적연선사,寂然禪師
기단,基壇
탑신부,塔身部
대성지성문선왕전좌도,大成至聖文宣王殿坐圖
홀,笏
정탁초상,鄭琢肖像
융천사,融天寺
기단,基壇
비좌,碑座
안상,眼象
대좌,臺座
광배,光背
대좌,臺座
광배,光背
비천상,飛天像
광배,光背
대좌,臺座
광배,光背
대좌,臺座
광배,光背
대좌,臺座
반자,飯子
한중서,韓仲敍
고면,鼓面
계성사,啓星寺
화사석,火舍石
성국사,城國寺
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단부,基壇部
탑신부,塔身部
라마탑,喇嘛塔
팔,八
정,井
장계,張桂
장말손,張末孫
장말손초상,張末孫肖像
기단,基壇
탑신,塔身
당,幢
당간,幢竿
대,臺
석비,石碑
기단,基壇
탑신,塔身
원효,元曉
태감,太甘
형미,逈微
비좌,碑座
관,冠
기단,基壇
탑신,塔身
법성사,法聖寺
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
관,冠
삼도,三道
분재기,分財記
비,碑
다층,多層
탑신,塔身
청석탑,靑石塔
기단,基壇
화사석,火舍石
상,上
하,下
대좌,臺座
기단,基壇
탑신,塔身
안상,眼象
인,人
팔,八
강세황필,姜世晃筆
도산서원도,陶山書院圖
교정,校正
정오,正誤
원조오잠,元朝五箴
회재,晦齋
외천잠,畏天箴
양심잠,養心箴
경신잠,敬身箴
개과잠,改過箴
독지잠,篤志箴
퇴계,退溪
호,號
잠계,潛溪
행,行
자,字
자경,字徑
해서,楷書
행,行
단중전아,端重典雅
유묵,遺墨
퇴필,退筆
송설체,松雪體
퇴묵,退墨
자옥산,紫玉山
귀영대,歸詠臺
징심대,澄心臺
세심대,洗心臺
탁영대,濯纓臺
관어대,觀魚臺
대자,大字
축장,軸粧
대자서,大字書
편액,扁額
안동,安東
후조당,後彫堂
읍청정,挹淸亭
월천서당,月川書堂
선몽대,仙夢臺
서각,書刻
김홍도필,金弘道筆
왕사,王師
군,郡
해월사,海月寺
기단,基壇
배,舟
광배,光背
삼존불,三尊佛
대좌,臺座
조안,祖眼
권근,權近
국청사,國淸寺
복발,覆鉢
보주,寶珠
국청사,國淸寺
기단,基壇
탑신,塔身
원각국사비명,圓覺國師碑銘
국청사,國淸寺
망탑봉,望塔峰
기단,基壇
탑신,塔身
안상,眼象
당,幢
당간,幢竿
기단,基壇
당,幢
당간,幢竿
광경사,廣慶寺
대,臺
계단,戒壇
기단,基壇
탑신,塔身
천왕상,四天王像
부신상,八部神像
기단,基壇
탑신,塔身
사자탑,四獅子塔
안상,眼象
대좌,臺座
대좌,臺座
불대좌,佛臺座
광배,光背
대좌,臺座
배,舟
대좌,臺座
기단,基壇
탑신,塔身
음자십시,吟自十詩
천하일등인충효,天下一等人忠孝
한대,漢代
을묘칠정,乙卯七正
해서,楷書
충술근수교,忠述謹受敎
훈묵헌진장,訓墨軒珍藏
주학년,朱鶴年
원옹경본,院翁硬本
이당,怡堂
제첨,題籤
신해경등루장,辛亥竟登樓藏
자필,自筆
제서,題書
영조,英祖
유명조선,有明朝鮮
서자,書者
일행,一行
이행,二行
삼행,三行
부본,副本
서자,書者
숙빈최씨시책문,淑嬪崔氏諡冊文
휘덕,徽德
가상,加上
책문,冊文
절첩장,折帖粧
신해년책력,辛亥年冊曆
신해칠정,辛亥桼正
길상여의관,吉羊如意館
신해칠정,辛亥桼正
신해칠정,辛亥七政
시고,詩稿
서간,書簡
제서,題書
당시,唐詩
퇴계,退溪
선조유묵,先祖遺墨
장수,張數
안도,安道
잠명,箴銘
인영,印影
선조유묵,先祖遺墨
사문수간,師門手簡
선생수적,先生手蹟
퇴도선생유묵,退陶先生遺墨
가서,家書
잠명,箴銘
주희,朱熹
감흥시,感興詩
대보잠,大寶箴
종요,鍾繇
왕희지,王羲之
활인심방,活人心方
자필,自筆
자화,自畵
진성후인,眞城後人
온계,溫溪
진성후인,眞城後人
경호,景浩
인영,印影
주역천견록,周易淺見錄
시용향악보,時用鄕樂譜
향악,鄕樂
당악,唐樂
가사,歌詞
여음,餘音
춘추,春秋
사실,史實
강,綱
목,目
훈의,訓義
강,綱
하,下
팔,八
부부총,夫婦塚
서역,西域
칠우,漆盂
채화칠기,彩畵漆器
동,銅
한대,漢代
진,晋
팔,八
홍예,虹霓
남천교,南川橋
홍예,虹霓
삼도,三道
대좌,臺座
대좌,臺座
상해,上海
홍구공원,虹口公園
김구,金九
유품,遺品
스위스제,製
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
백인당중유태화,百忍堂中有泰和
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
일일부독서구중생형극,一日不讀書口中生荊棘
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
치악의악식자부족여의,恥惡衣惡食者不足與議
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
세한연후지송백지부조,歲寒然後知松柏之不彫
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
의사,義士
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
고막고어자시,孤莫孤於自恃
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
히로부미,伊藤博文
장인,掌印
사기,史記
당호,堂號
오리타타다스,折田督
오리타간지,折田幹二
야기마사즈미,八木正澄
증여한다,贈安岡檢察官
오리타타다스,折田督
오리타간지,折田幹二
선지,宣紙
경술삼월,庚戌三月
대한국인,大韓國人
안중근쓰다,安重根書
유묵,遺墨
국가안위노심초사,國家安危勞心焦思
증안강검찰관,贈安岡檢察官
경술삼월,庚戌三月
대한국인,大韓國人
표하다,安重根謹拜
안강정사랑,安岡靜四郞
유묵,遺墨
경술삼월,庚戌三月
대한국인,大韓國人
표하다,安重根謹拜
천엽십칠,千葉十七
휘호,揮毫
행서체,行書體
종서,縱書
수장인,手掌印
년,庚戌
언충신행독경만방가행,言忠信行篤敬蠻邦可行
경술삼월,庚戌三月
대한국인,大韓國人
쓰다,安重根書
히로부미,伊藤博文
장인,掌印
여순감옥,旅順監獄
대련세관,大連稅關
축장,軸裝
인무원려필유근우,人無遠慮必有近憂
방서,傍書
장인,掌印
단지회,斷指會
방서,傍書
위령공,衛靈公
여순감옥,旅順監獄
상관,上款
하관,下款
상관,上款
증청전선생,贈淸田先生
간수과장,看守課長
일통청화공,日通淸話公
하관,下款
방서,傍書
장인,掌印
상관,上款
하관,下款
인애,仁愛
일통청화공,日通淸話公
인의,仁義
여순감옥,旅順監獄
방서,傍書
장인,掌印
경수계장,驚守係長
방서,傍書
명심보감,明心寶鑑
삼흥학교,三興學校
돈의학교,敦義學校
여순감옥,旅順監獄
지사인인살신성인,志士仁人殺身成仁
방서,傍書
장인,掌印
방서,傍書
중봉세,中鋒勢
여순감옥,旅順監獄
세심대,洗心臺
우종서,右縱書
방서,傍書
장인,掌印
농묵,濃墨
자형,字形
구슬,珠玉
발걸이,鐙子
드리개,腰佩
지석형,砥石形
큰칼,鬼面大刀
큰칼,三累大刀
큰칼,三葉大刀
자도,子刀
큰칼,大刀
손칼,銀裝小刀
철검,鐵劍
말띠드리개,杏葉
심엽형,心葉形
말종방울,馬鐸
말띠드리개,杏葉
어미형,魚尾形
심엽형,心葉形
말안장부속구,鞍輪片
말띠꾸미개,雲珠
연화문,蓮花文
보요,步搖
비,碑
오경천견록,五經淺見錄
시경,詩經
서경,書經
시설,詩說
고면,鼓面
묘지,墓誌
흥국사대웅전후불탱,興國寺大雄殿後佛幀
천신,天信
의천,義天
기단,基壇
탑신,塔身
안상,眼象
고,故
전형필,全鎣弼
기단,基壇
탑신,塔身
복발,覆鉢
배례석,拜禮石
겸재,謙齋
광배,光背
월인석보목판,月印釋譜木板
백개만,白介萬
궐,闕
풍패지관,豊沛之館
문효,文孝
계상정거도,溪上靜居圖
회암서절요서,晦菴書節要序
무봉산중,舞鳳山中
인곡정사,仁谷精舍
강민첨초상,姜民瞻肖像
홀,笏
강현초상,姜鋧肖像
강세황초상,姜世晃肖像
석씨원류응화사적목판,釋氏源流應化事蹟木板
지십,智什
석가여래성도기,釋迦如來成道記
허목수고본,許穆手稿本
대자,大字
축,軸
장지,壯紙
취,翠
대자,大字
경건,勁健
후주,後周
고문연구가,古文硏究家
쌍자총통,雙字銃筒
소용화기,小用火器
대좌,臺座
기단,基壇
탑신,塔身
문무잡과방목,文武雜科榜目
시명지보,施命之寶
전,田
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
위봉사,圍鳳寺
보광명전,普光明殿
팔,八
정,井
운룡,雲龍
기단,基壇
탑신,塔身
십이지신상,十二支神像
팔부중상,八部衆像
사천왕상,四天王像
기단,基壇
탑신,塔身
지신상,十二支神像
부중상,八部衆像
사천왕상,四天王像
순제,順帝
반구형,半球形
신숙주초상,申叔舟肖像
매향,埋香
계,契
삼도,三道
관,棺
관,棺
관,棺
은화,銀化
조익형관식,鳥翼形冠飾
관식,冠飾
관모,冠帽
타출점렬문,打出點列文
부,夫
백,百
각자,刻字
접형관식,蝶形冠飾
은판,銀板
곡옥,曲玉
새김으로,打出
관,冠
관모,冠帽
주구,注口
기로소,耆老所
계,契
계첩,契帖
문관,文官
경현당,景賢堂
사연,賜宴
어제,御製
축시,祝詩
흥정당,興政堂
어첩봉안도,御帖奉安圖
숭정전진하전도,崇政殿進賀箋圖
경현당석연도,景賢堂錫宴圖
은배,銀盃
봉배귀사도,奉盃歸社圖
기사사연도,耆社私宴圖
김진여,金振汝
장태흥,張泰興
인천안목,人天眼目
지소,智昭
선가,禪家
선종영가집,禪宗永嘉集
현각,玄覺
선종,禪宗
언해본,諺解本
담여,淡如
각눌,覺訥
외성,外城
중성,中城
내성,內城
북성,北城
성석,城石
삼산관,三山冠
대좌,臺座
반가상,半跏像
고식,古式
상약국,尙藥局
화포,火砲
천,天
승자총통,勝字銃筒
장인,匠人
생천사지,生千寺址
대좌,臺座
존불,五尊佛
삼존불,三尊佛
무인,戊寅
존불,七尊佛
배,舟
중옥,仲玉
순옹,順翁
전주,全州
호연정,浩然亭
동이산략,東耳刪略
둔서록,遯筮錄
정안여분,靜安餘噴
분,盆
분재,盆栽
자수가사,刺繡袈裟
조,條
삼존불,三尊佛
광배,光背
반가,半跏
화사석,火舍石
광배,光背
희달,希達
죽통,竹筒
석탑재,石塔材
주악상,奏樂像
공양상,供養像
비파,琵琶
복식,服飾
인,人
삼존불,三尊佛
대좌,臺座
안상,眼象
광배,光背
대좌,臺座
권응수장군유물,權應銖將軍遺物
상복,商服
칠보,七寶
아,亞
홍예,虹霓
건성비,建城碑
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
한광사,閑光寺
대좌,臺座
대좌,臺座
탑신,塔身
복발,覆鉢
기단,基壇
탑신,塔身
부중상,八部衆像
관,冠
삼존불,三尊拂
대좌,臺座
광배,光背
기단,基壇
탑신,塔身
팔부중상,八部衆像
복발,覆鉢
기단,基壇
탑신,塔身
불타발타라,佛馱跋陀羅
권,卷
장,張
실차난타,實叉難陀
권,卷
장,張
전순미,田洵美
불정심관세음보살대다라니경,佛頂心觀世音菩薩大陀羅尼經
호신용,護身用
법화경,法華經
화엄종,華嚴宗
천태종,天台宗
소부,小部
증보,增補
구마라집,鳩摩羅什
관세음보살보문품,觀世音菩薩普門品
관음신앙,觀音信仰
회삼귀일사상,會三歸一思想
삼승,三乘
일승,一乘
귀일,歸一
법,法
시방불토,十方佛土
일불승,一佛乘
삼국유사,三國遺事
의천,義天
신편제종교장총록,新編諸宗敎藏總錄
송,宋
계환,戒環
법화경,法華經
주해본,註解本
회삼귀일사상,會三歸一思想
삼승,三乘
일승,一乘
귀일,歸一
법,法
시방불토,十方佛土
일불승,一佛乘
삼국유사,三國遺事
의천,義天
신편제종교장총록,新編諸宗敎藏總錄
송,宋
계환,戒環
법화경,法華經
주해본,註解本
판,板
장,張
성민,成敏
불조삼경,佛祖三經
축법란,竺法蘭
구마라습,鳩摩羅什
불조삼경,佛祖三經
불조삼경,佛祖三經
몽산,蒙山
덕이,德異
불설사십이장경,佛說四十二章經
불유교경,佛遺敎經
위앙종,僞仰宗
불조삼경,佛祖三經
전주,全州
가섭마등,迦葉摩騰
수수,守遂
진종,眞宗
불유교경,佛遺敎經
장수,張銖
행심,行心
지문,誌文
법공,法空
윤선,尹善
몽산,蒙山
석가,釋迦
조사,祖師
설법,說法
불서,佛書
성도,成道
불설사십이장경,佛說四十二章經
불유교경,佛遺敎經
위산,潙山
위산경책,潙山警策
후한,後漢
가섭마등,迦葉摩騰
축법란,竺法蘭
한역,漢譯
구마라집,鳩摩羅什
수수,守遂
주석,註釋
서,叙
진종,眞宗
대송진종황제주유교경서,大宋眞宗皇帝注遺敎經序
장수,張銖
주위산경책서,注潙山警策序
간행질,刊行秩
원암사,圓嵓寺
간기,刊記
유판처,留板處
행심,行心
법공,法空
윤선,尹善
불조삼경,佛祖三經
축법란,竺法蘭
구마라습,鳩摩羅什
경,佛祖三經
지봉,志峯
지도,志道
변상도,變相圖
신,神
혜근,惠勤
지공,指空
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
선림보훈,禪林寶訓
종고,宗果
사규,士珪
남송,南宋
선,禪
환암,幻菴
상위,尙偉
고식기,高息機
시주,施主
청룡선사,靑龍禪寺
선서,禪書
불설장수멸죄호제동자경,佛說長壽滅罪護諸童子經
변상도,變相圖
무오,戊午
호법론,護法論
환암,幻庵
승준,僧俊
만회,萬恢
인출,印出
장승법수,藏乘法數
명수,名數
가수,可遂
무학대사,無學大師
대장경,大藏經
명수,名數
불교학사전,佛敎學事典
원조,元朝
가수,西菴可遂
무학대사,無學大師
중간본,重刊本
공필구여발,無學大師重刊功畢求余跋
현수법수,賢首法數
법수,法數
송파,松坡
간지,間紙
장승법수,藏乘法數
명수,名數
불설대보부모은중경,佛說大報父母恩重經
한천,韓蕆
중용주자혹문,中庸朱子或問
사서,四書
원본,元本
홍호,洪虎
개판,開板
홍호,洪虎
홍무,洪武
혜종,惠宗
무,武
피휘,避諱
고려간본,高麗刊本
중용주자혹문,中庸朱子或問
사서,四書
원본,元本
홍호,洪虎
개판,開板
홍호,洪虎
홍무,洪武
혜종,惠宗
무,武
피휘,避諱
고려간본,高麗刊本
급암선생시집,及菴先生詩集
설곡시고,雪谷詩藁
서,序
서,序
목은문고,牧隱文稿
발,跋
포,誧
공권,公權
굉찬사,宏贊師
우왕,禑王
후쇄본,後刷本
홍무,洪武
무,武
졸고천백,拙藁千百
동인문서,序
동인사륙서,序
체례,體例
동국지감,東國之監
건,健
무,武
운,運
요,堯
치,治
졸고천백,拙藁千百
동인문서,序
동인사륙서,序
체례,體例
동국지감,東國之監
건,健
무,武
운,運
요,堯
치,治
졸고천백,拙藁千百
동인문서,序
동인사륙서,序
체례,體例
동국지감,東國之監
졸고천백,拙藁千百
동인문서,序
동인사륙서,序
체례,體例
동국지감,東國之監
졸고천백,拙藁千百
동인문서,序
동인사륙서,序
체례,體例
간기,刊記
간행지,刊行地
판식,板式
정,正
고,高
어미,魚尾
시,詩
문,文
선손,璿孫
원각류해,圓覺類解
행정,行霆
종밀,宗密
혜정,慧定
환암,幻菴
혜정,慧定
청룡사,靑龍寺
선광,宣光
환암비구,幻庵比丘
무작,無作
안거,安居
환암,幻庵
신사,信士
고식기,高息機
간비,刊費
만회,万恢
장판,藏版
변상도,變相圖
신,神
삼국사기,三國史記
옥산서원본,玉山書院本
질,帙
간본,刊本
도응,都膺
장관,張寬
관제,官制
선,善
권선문,勸善文
인,人
정,井
대좌,臺座
대장도감,大藏都監
사간판전,寺刊板殿
정원본,貞元本
진본,晋本
주본,周本
승조,僧肇
도액,道液
교장,敎藏
교장,敎藏
전기,傳記
묵담,默潭
주지,住持
문수사리보살최상승무생계경,文殊師利菩薩最上乘無生戒經
지공,指空
우공,禹公
성암사,聖庵寺
구나발마,求那跋摩
대장도감,大藏都監
삼존불비상,三尊佛碑像
삼존불,三尊佛
대좌,臺座
관,冠
배,舟
정조필,正祖筆
파초도,芭蕉圖
정조필,正祖筆
국화도,菊花圖
희방사,喜方寺
기,其
기,其
석보상절서,序
월인석보서,序
기,其
순창,淳昌
구암사,龜巖寺
전존,傳存
초간본,初刊本
성암본,誠庵本
구암사본,龜巖寺本
표지,表紙
낙장,落張
찬불가,讚佛歌
국역대장경,國譯大藏經
안장,鞍裝
안교,鞍橋
마,麻
광배,光背
대좌,臺座
관,冠
순제,順帝
기단,基壇
탑신,塔身
보주,寶珠
축,軸
변상도,變相圖
구씨,具氏
변상도,變相圖
변상도,變相圖
계항,戒桁
무생계법문,無生戒法文
혜능,慧能
법보단경,法寶壇經
주,周
변상도,變相圖
변상도,變相圖
반자밀제,般刺密帝
실차난타,實叉難陀
불부사의법품,佛不思議法品
변상도,變相圖
선종,禪宗
남명천화상송증도가,南明泉和尙頌證道歌
최이,崔怡
오용천용,吳庸天用
축황,祝況
배견,拜見
오도,悟道
증도가,證道歌
송,宋
법천선사,南明法泉禪師
계송,繼頌
증도,證道
선가,禪家
남명증도가,南明證道歌
후학,後學
각공,刻工
주자본,鑄字本
주자본,鑄字本
번각,飜刻
구결토,口訣吐
주자판,鑄字版
중조,重雕
불교학,佛敎學
서지학,書誌學
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
변상도,變相圖
법어,法語
간경도감,刊經都監
보제존자,普濟尊者
신미,信眉
법어,法語
보제존자,普濟尊者
신미,信眉
만항,萬恒
혼구,混丘
법어,法語
만항,萬恒
혼구,混丘
신미,信眉
혜각존자신미역해,慧覺尊者信眉譯解
초의,艸衣
청허당보장록,淸虛堂寶藏錄
원,元
몽산화상,蒙山和尙
신미,信眉
법어,法語
덕이,德異
혜근,慧勤
만항,萬恒
혼구,混丘
보조국사,普照國師
지눌,知訥
수심결,修心訣
혜각존자,慧覺尊者
신미,信眉
목우자,牧牛子
법호,法號
선종,禪宗
교종,敎宗
환산정응선사시몽산법어,皖山正凝禪師示蒙山法語
법어,法語
간경도감,刊經都監
명필,名筆
안혜,安惠
현장,玄奘
법장,法藏
한계희,韓繼禧
초간본,初刊本
후진,後秦
구마라습,鳩摩羅什
정축자,丁丑字
을해자,乙亥字
금강경오가해,金剛經五家解
종밀,宗密
종경,宗鏡
기화,己和
언해,諺解
후진,後秦
구마라습,鳩摩羅什
정축자,丁丑字
을해자,乙亥字
금강경오가해,金剛經五家解
종밀,宗密
종경,宗鏡
기화,己和
언해,諺解
행정,行靖
정원,淨源
신미,信眉
학조,學祖
인경자,印經字
세조,世祖
구결,口訣
신미,信眉
간경도감,刊經都監
교정,校正
선본,善本
완형,盌形
청동은입사포류수금문향완,靑銅銀入絲蒲柳水禽文香垸
대좌,臺座
관,冠
지장도,地藏圖
태실,胎室
팔,八
발원문,發願文
해린,海隣
정란종,鄭蘭宗
을유자,乙酉字
신흥사,臣興寺
진안,鎭安
중대사,中臺寺
사면불,四面佛
기단,基壇
탑신,塔身
복발,覆鉢
탑신,塔身
다탑봉,多塔峰
여덟팔,八
기단,基壇
탑신,塔身
천불,千佛
인,人
정,井
팔,八
정,井
팔,八
정,井
사역,寺域
대웅전,大雄殿
지장전,地藏殿
팔,八
천상천하유아독존,天上天下唯我獨尊
대좌,臺座
대좌,臺座
일화문,日華門
월화문,月華門
사정문,思政門
팔,八
선정,宣政
선정전,宣政殿
편전,便殿
상참,常參
회회청,回回靑
선정전,宣政殿
인경궁,仁慶宮
사초,史草
팔,八
양화당,養和堂
팔,八
박석,薄石
하례,賀禮
팔,八
팔,八
정,井
석선,奭善
화덕,華德
팔,八
대장암,大藏庵
팔,八
팔,八
정,井
화사석,火舍石
기단,基壇
탑신,塔身
감실,龕室
기단,基壇
탑신,塔身
인,人
인,人
인,人
팔,八
정,井
인,人
정,井
갈수,渴水
평수,平水
대수,大水
시반,時盤
지평일구,地平日晷
각,角
시표,時表
관상감,觀象監
천정,天頂
대석,臺石
앙부일구,仰釜日晷
황극,黃極
곤여만국전도,坤與萬國全圖
회입,繪入
김진여,金振汝
고산자,古山子
분첩절첩식,分疊折帖式
온성,穩城
종성,鐘城
경원,慶源
영아,營衙
읍치,邑治
성지,城池
진보,鎭堡
창고,倉庫
목소,牧所
봉수,烽燧
방리,坊里
고현,古縣
고진보,古鎭堡
