kor,hanja
동궐도,東闕圖
동궐도,東闕圖
공신도감,功臣都監
경,經
론,論
론,論
성불,成佛
현장,玄奘
함차,函次
보,寶
장,丈
장,張
장,丈
경,竟
효문,孝文
실차난타,實叉難陀
장,丈
폭,幅
장,張
경,敬
장,丈
실차난타,實叉難陀
장,丈
폭,幅
장,張
장,丈
경,竟
절거리,節居利
계미,癸未
간지,干支
실차난타,實叉難陀
장,丈
폭,幅
장,張
경,竟
실차난타,實叉難陀
경,敬
경,竟
경,敬
경,竟
경,經
론,論
론,論
성불,成佛
현장,玄奘
장,丈
폭,幅
장,張
장,丈
경,經
론,論
논,論
성불,成佛
북량,北凉
부타발마,浮陀跋摩
도태,道泰
장,丈
폭,幅
장,張
장,丈
경,竟
법현,法賢
장,丈
폭,幅
장,張
장,丈
모자,母子
섭정의품,攝淨義品
제이지팔,第二之八
장차,張次
장차,張次
장,丈
장,張
실차난타,實叉難陀
장,丈
폭,幅
장,張
장,丈
경,敬
장,丈
폭,幅
장,張
경,敬
경,竟
경,鏡
향,香
곡,穀
서지학,書誌學
원,元
송,宋
주자발,鑄字跋
공,空
현장,玄裝
장,丈
폭,幅
장,張
명문,銘文
성왕,聖王
창왕,昌王
위덕왕,威德王
성왕,聖王
창왕,昌王
향류,香類
통도,通度
계단,戒壇
운,韻
관,冠
대좌,臺座
법형,法浻
철학,哲學
의겸,義謙
승정원,承政院
의례,儀禮
조보,朝報
춘방일기,春坊日記
주서,注書
가주서,假注書
사변가주서,事變假注書
초책,草冊
승지,承旨
이주,移柱
고주,高柱
고주,高柱
팔,八
궐패,闕牌
무인도,武人圖
삼국유사,三國遺事
을해,乙亥
석주,昔珠
보사,補寫
풍,豊
삼국유사,三國遺事
을해,乙亥
석주,昔珠
보사,補寫
풍,豊
일연,一然
보고,寶庫
왕력,王曆
기이,紀異
결장,缺張
일연,一然
보고,寶庫
완질,完帙
인출,印出
교감,校勘
원판,原板
행간,行間
구결,音讀口訣
현토,懸吐
봉보주인,捧寶珠印
최고,最古
고부조,高浮彫
육계,肉髻
민머리,素髮
삼도,三道
손,手印
길상좌,吉祥坐
법의,法衣
통견의,通肩衣
선각화,線刻化
도식적,圖式的
대좌,臺座
앙련,仰蓮
복련,覆蓮
불신,佛身
광배,頭光
광배,身光
중원,三重圓
불꽃무늬,火焰紋
감실,龕室
유백색,乳白色
관요,官窯
사옹원,司饔院
분원,分院
성형,成型
번조,燔造
유백색,乳白色
관요,官窯
사옹원,司饔院
분원,分院
성형,成型
번조,燔造
봉정사,鳳停寺
능인대사,能仁大師
팔,八
사방불,四方佛
삼존불,三尊佛
회,七處九會
구산선문,九山禪門
희양산문,曦陽山門
도헌국사,道憲國師
지증대사,智證大師
도신,道信
법랑,法朗
신행,愼行
준범,遵範
혜은,慧隱
도헌,道憲
법계,法系
선종사,禪宗史
최치원,崔致遠
대숭복사비,大崇福寺碑
각자,刻字
혜강,慧江
신이,神異
왕토사상,王土思想
기진,寄進
사직,寺職
소도,蘇塗
고비,古碑
인,人
하앙식,下昻式
최고,最古
화강암,花崗巖
음각,陰刻
각자,刻字
궁,宮
필의,筆意
고해서,古楷書
전초,顚草
동의보감,東醫寶鑑
양예수,楊禮壽
이명원,李命源
내경편,內景篇
외형편,外形篇
잡병편,雜病篇
탕액편,湯液篇
침구편,鍼灸篇
대강,大綱
명말청초,明末清初
교토서림,京都書林
오사카서림,大坂書林
동의보감,東醫寶鑑
양예수,楊禮壽
이명원,李命源
내경편,內景篇
외형편,外形篇
잡병편,雜病篇
탕액편,湯液篇
침구편,鍼灸篇
대강,大綱
명말청초,明末清初
교토서림,京都書林
오사카서림,大坂書林
동의보감,東醫寶鑑
내사기,內賜記
선사지보,宣賜之寶
장방형주인,長方形朱印
내사기,內賜記
동의보감,東醫寶鑑
동의보감,東醫寶鑑
양예수,楊禮壽
이명원,李命源
내경편,內景篇
외형편,外形篇
잡병편,雜病篇
탕액편,湯液篇
침구편,鍼灸篇
대강,大綱
명말청초,明末清初
교토서림,京都書林
오사카서림,大坂書林
월인천강지곡,月印千江之曲
단응,端應
탁밀,卓密
기전체,紀傳體
삼국유사,三國遺事
경주부,慶州府
인출,印出
원판,原板
개각,改刻
판,板
완질본,完帙本
장정,裝幀
기전체,紀傳體
삼국유사,三國遺事
관찬사서,官撰史書
